12-13-2022, 18:36:43.00786 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00786 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00786 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00786 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00786 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00786 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00786 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00828 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00828 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00828 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00860 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00860 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00860 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00860 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00901 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00901 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00901 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00901 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00901 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00943 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00943 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00943 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00988 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00988 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:43.00988 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00030 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00074 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00116 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00116 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00157 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00157 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00157 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00199 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00230 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00230 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00230 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00230 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00230 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00230 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00274 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00274 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00274 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00274 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00315 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00315 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00315 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00315 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00359 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00359 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00359 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00359 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00401 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00401 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00401 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00401 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00445 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00445 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00488 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00488 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00488 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00521 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00573 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00573 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00574 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00574 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00574 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00574 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00574 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00615 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00615 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00616 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00657 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00700 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00744 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00744 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00744 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00744 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00789 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00789 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00789 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00828 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00828 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000031ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00861 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00905 (000047ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
12-13-2022, 18:36:44.00905 (000000ms)	ERR	rfid_DeallocateTags                	[378]	Invalid parameter given. tagCount is 0
